subtitle	word	meaning_label
Got it . Hey , Scott . Hey , Eiko , where 's the command post ?	post	2
Yeah , well , I mean these guys are faster than the post office getting info in and out .	post	3
Neither his post , nor adjacent .	post	2
Well , I tried to sneak past you and get out , and I ran into a post which went down , and then I ran into another post which knocked down ...	post	1
Send men out to post a guard .	post	2
Goal post .	post	1
We were in a two-man listening post , talking just like we are here .	post	2
Direct disobedience to orders , dereliction of duty , leaving an assigned post .	post	2
What 's strange is going into the evidence locker after post and finding nothing left .	post	2
We must inform the militia at once . I , Philip Philipovich , have taken up an official post . - Give me the paper .	post	2
The only person who can officially.. ..resign the post of captain is the captain , and I 'm not going anywhere .	post	2
This is for the best . Thank you . I 'll have Sara post it this morning . No need . I can do it myself .	post	1
For $ 200 ... ... Roy can hit the ball through the bar , out the patio , into the river ... ... and make that pelican right there fly off its post .	post	1
Alice , hiding behind the post .	post	1
The 'Wanted ' posters at the post office ...	post	3
Lieutenant Ladd 's civilian was snooping around the post .	post	2
I thought Lorelai could post it in case some of the innï¿½s other guests wanted to join us in our pre-game activities .	post	1
Some of you are new to the army and all of us are new to this post .	post	2
How can I pay you back ? I 'll post the money back , okay ?	post	3
Get to the command post ... ... and tell Wellman he 's got himself a battalion . I 'll carry you out , sir . I gave you an order .	post	2
Jerry , I 'm sorry . We have a call from the Milwaukee post office . The mail for Henry Finch is being forwarded here to Manhattan .	post	3
I represent parties who wish to remain anonymous ... ..and who have instructed me to post bail for the defendants ... ..or pay any fines levied in case they plead guilty , ... ..which I 'm sure they will now do . Who is he ? It 's the scout .	post	3
We do n't have any flowers or presents , but we 'll post you some . Leave him , and we 'll feed him . Good , I can do voluntary work .	post	3
How proud are you gon na be if I charge you with deserting your post ?	post	2
Then why not appoint me to the post ?	post	2
I ai n't got no paper to post bail .	post	3
Ahh . ( Grunts ) ( Heavy sigh ) 'Despite a downdraught , 'stocks Were able to post a rally thanks to a couple of factors ... ' ( TV continues ) 'In a moment ... ' ( Mutters ) ( Groans )	post	1
We 're not cowboys at this post ... ... nor freighters with a load of alfalfa .	post	2
Not on a U.S. American military post .	post	2
Well , I tried to sneak past you and get out , and I ran into a post which went down , and then I ran into another post which knocked down ...	post	1
I 've been asked by the faculty chairman to relinquish my post here at Yale .	post	2
We are sending nice copies by book post and trust they will arrive safely ... ... and that you will be pleased with them .	post	3
Let 's post this on the Dental Society database -- see if anyone responds .	post	1
An officer , upon reporting to a new post ... ... must wait upon his commanding officer at the first possible moment .	post	2
When we have enough evidence , we 'll show it to the authorities . If that does n't work , we 'll post the video on our website .	post	1
This is my post ,	post	2
Able 1 to Able 4 . Over . I tell Ware about our nighttime encounter with the Germans . Bad idea . Griffin 's desperate for information ... so Ware orders us out to find their command post . We decided to head south down the pass . It 's as good a guess as any , and that 's where their voices seem to come from . Of course that could be seen as a good argument for heading the other way . I 'm having my usual trouble ... noticing how beautiful the world is just when I might be leaving it .	post	2
All the top brass on post are in the stockade , and I find myself acting commander .	post	2
Read it in the post office ... underneath the mug shots .	post	3
Governor Arthur has agreed to consider Raymond for a cabinet-level post .	post	2
I am innocent . It was n't my fault . WelI , Murph . Send us a post card . Bye . Au r e v oir , Hildegarde . When wilI we see you ? Next time you see me ... ... I'Il be in a RolIs-Royce , giving interviews on success .	post	3
Bobby , set that on the corner post .	post	1
All right . You set up a command post , okay ?	post	2
